QUANTITY,2024-01,Latte,311361
QUANTITY,2024-02,Espresso,291989
QUANTITY,2024-03,Latte,310920
QUANTITY,2024-04,Americano,300869
QUANTITY,2024-05,Cappuccino,311622
QUANTITY,2024-06,Espresso,301730
QUANTITY,2025-01,Flat White,312232
QUANTITY,2025-02,Hot Chocolate,280937
QUANTITY,2025-03,Americano,310772
PROFIT,2024-01,Matcha Latte,3098440.0
PROFIT,2024-02,Matcha Latte,2902660.0
PROFIT,2024-03,Matcha Latte,3094720.0
PROFIT,2024-04,Matcha Latte,3002390.0
PROFIT,2024-05,Matcha Latte,3092170.0
PROFIT,2024-06,Matcha Latte,2994500.0
PROFIT,2025-01,Matcha Latte,3104830.0
PROFIT,2025-02,Matcha Latte,2804010.0
PROFIT,2025-03,Matcha Latte,3103800.0
